City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Bredasdorp,ZA,2020-09-03 20:59:34,-34.53,20.04,53.6,93,94,2.24,overcast clouds
62,Tanete,ID,2020-09-03 20:54:13,-3.94,119.78,73.24,92,68,4.43,broken clouds
63,Santa Paula,US,2020-09-03 20:54:14,34.35,-119.06,82.0,54,1,11.41,clear sky
64,Ribeira Grande,PT,2020-09-03 21:03:52,38.52,-28.7,75.2,73,40,2.24,scattered clouds
65,Saint-Augustin,CA,2020-09-03 20:54:14,51.23,-58.65,68.18,67,68,13.62,broken clouds
66,Bubaque,GW,2020-09-03 21:03:52,11.28,-15.83,79.61,81,100,18.81,overcast clouds
67,Rikitea,PF,2020-09-03 21:03:52,-23.12,-134.97,72.19,84,0,9.78,clear sky
68,Bethel,US,2020-09-03 21:03:52,41.37,-73.41,81.0,42,1,8.05,clear sky
69,Clyde River,CA,2020-09-03 21:03:53,70.47,-68.59,42.8,81,75,8.05,broken clouds
70,Yulara,AU,2020-09-03 21:03:53,-25.24,130.99,57.2,30,72,9.17,broken clouds
71,Pimenta Bueno,BR,2020-09-03 20:51:07,-11.67,-61.19,101.44,13,1,3.85,clear sky
72,Nam Som,TH,2020-09-03 20:54:15,17.77,102.19,76.19,86,61,2.19,broken clouds
73,Brewster,US,2020-09-03 20:53:59,41.4,-73.62,80.6,42,1,8.05,clear sky
74,The Pas,CA,2020-09-03 20:54:15,53.83,-101.25,56.1,52,83,16.49,broken clouds
75,Castro,BR,2020-09-03 21:01:07,-24.79,-50.01,67.77,70,0,5.14,clear sky
76,Leningradskiy,RU,2020-09-03 21:03:54,69.38,178.42,35.56,92,100,1.25,overcast clouds
77,Cape Town,ZA,2020-09-03 21:02:39,-33.93,18.42,57.0,93,98,4.7,overcast clouds
78,Hithadhoo,MV,2020-09-03 21:01:54,-0.6,73.08,81.72,78,15,13.91,few clouds
79,Te Anau,NZ,2020-09-03 21:03:54,-45.42,167.72,47.43,81,100,10.04,overcast clouds
80,Lebu,CL,2020-09-03 21:03:55,-37.62,-73.65,51.1,69,12,6.33,few clouds
81,Alyangula,AU,2020-09-03 20:49:30,-13.85,136.42,64.4,100,90,7.2,overcast clouds
82,Adrar,MR,2020-09-03 21:03:55,20.5,-10.07,100.44,20,59,9.51,broken clouds
83,Sur,OM,2020-09-03 21:03:55,22.57,59.53,83.57,50,98,5.95,overcast clouds
84,Vaini,TO,2020-09-03 21:03:55,-21.2,-175.2,71.6,78,20,16.11,few clouds
