City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Utica,US,75.2,broken clouds,43.1,-75.23,Days Inn by Wyndham Utica
188,Sorong,ID,78.42,light rain,-0.88,131.25,The Waigo Hotel
190,Hamilton,US,84.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
192,Amahai,ID,76.57,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
193,Laguna,US,89.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
195,Pierre,US,75.99,clear sky,44.37,-100.35,Ramkota Hotel
198,Peachland,CA,79.0,clear sky,49.77,-119.74,Wine Stopper B&B
199,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
204,Raigarh,IN,76.6,broken clouds,21.9,83.4,STARiHOTELS Sattigudi Chowk Raigarh
206,Idah,NG,76.06,scattered clouds,7.11,6.73,Ubiga Hotel Idah
208,Sao Paulo De Olivenca,BR,85.87,broken clouds,-3.38,-68.87,
210,Puerto Ayora,EC,75.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
213,Puerto El Triunfo,SV,86.0,shower rain,13.28,-88.55,Hotel Jardin
214,Jacqueville,CI,77.0,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
216,Canchungo,GW,77.0,light rain,12.07,-16.03,Hotel Pereira
218,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
220,Gigmoto,PH,80.96,overcast clouds,13.78,124.39,Cj's Travellers Inn
221,Nouakchott,MR,86.0,clear sky,18.09,-15.98,Hôtel Iman
224,Minab,IR,82.4,clear sky,27.15,57.08,فروشگاه موبایل ترکمانی
230,Awjilah,LY,88.93,clear sky,29.11,21.29,
231,Puerto Escondido,MX,87.8,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
232,Bosaso,SO,91.49,clear sky,11.28,49.18,Red Sea Hotel
238,Panalingaan,PH,79.32,few clouds,8.78,117.42,
239,Asilah,MA,78.8,clear sky,35.47,-6.03,Hotel Zelis
241,Saquarema,BR,75.2,clear sky,-22.92,-42.51,Hotel Fazenda Sol e Lua
242,Marihatag,PH,78.6,overcast clouds,8.79,126.3,Mariner's Place & Resort
247,Oranjestad,AW,87.8,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
248,Aswan,EG,87.94,clear sky,24.09,32.91,Nuba Nile
258,San Jose,US,77.0,clear sky,37.34,-121.89,The Westin San Jose
259,Santa Rosa,PH,82.4,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
263,Los Llanos De Aridane,ES,75.2,overcast clouds,28.66,-17.92,Valle Aridane
264,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
265,Yangjiang,CN,79.92,overcast clouds,21.85,111.97,HUALUXE Yangjiang City Center
268,Oyama,JP,86.0,fog,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
271,Lazaro Cardenas,MX,84.78,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
272,Kismayo,SO,77.2,clear sky,-0.36,42.55,Agan-Hotel
274,Odenton,US,88.0,scattered clouds,39.08,-76.7,Washington DC / Capitol KOA Holiday
282,Sao Joao Da Barra,BR,77.0,clear sky,-21.64,-41.05,Pousada Porto De Canoas
285,Praia Da Vitoria,PT,75.2,broken clouds,38.73,-27.07,Hotel Branco I
286,Isla Vista,US,84.99,haze,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
288,Naze,JP,78.8,few clouds,28.37,129.48,奄美ポートタワーホテル
294,Buala,SB,82.45,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
296,Salinopolis,BR,80.65,clear sky,-0.61,-47.36,Hotel Salinópolis
301,Pedernales,DO,89.6,broken clouds,18.04,-71.74,Hotel Costa Marina
303,Astoria,US,80.01,clear sky,46.19,-123.83,Best Western Astoria Bayfront Hotel
304,Palasa,IN,79.3,overcast clouds,18.77,84.42,Malla Krishana apartment
307,San Andres,CO,84.2,scattered clouds,12.58,-81.7,Hotel Arena Blanca
311,Dingle,PH,76.51,overcast clouds,11.0,122.67,Camp Pasica
313,Muisne,EC,82.4,broken clouds,0.6,-80.03,Quinta Samay
314,Pochutla,MX,89.6,overcast clouds,15.74,-96.47,Hotel Posada San Jose
316,Keti Bandar,PK,80.83,overcast clouds,24.14,67.45,Haji laloo memon house
318,Beaver Dam,US,75.2,scattered clouds,43.46,-88.84,Quality Inn & Suites Beaver Dam
319,Korla,CN,84.0,overcast clouds,41.76,86.15,Gulisitan Hotel
321,Porbandar,IN,80.69,scattered clouds,21.64,69.61,Lords Inn Porbandar
322,Monteagudo,BO,75.45,overcast clouds,-19.82,-63.98,"Residencial ""OLIVIA"""
325,Las Juntas,MX,89.6,scattered clouds,19.42,-104.7,La casa de la Riata
326,Singaraja,ID,78.96,scattered clouds,-8.11,115.09,Puri Bagus Lovina Resort
328,Mitsamiouli,KM,77.13,few clouds,-11.38,43.28,Foyer ADM
329,Eirunepe,BR,90.5,moderate rain,-6.66,-69.87,Pousada Novo Acre
330,Polewali,ID,75.15,broken clouds,-3.43,119.34,Lilianto Hotel
331,Mogadishu,SO,76.64,clear sky,2.04,45.34,Hotel Juba
332,Izumo,JP,75.2,broken clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
334,Challakere,IN,77.11,light rain,14.32,76.65,SR Residency
336,Nioki,CD,76.71,light rain,-2.72,17.68,
337,Mtambile,TZ,75.4,clear sky,-5.38,39.7,
341,Kokopo,PG,78.82,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
342,Hambantota,LK,80.51,few clouds,6.12,81.12,Bungalow 63
344,Manaira,BR,75.36,broken clouds,-7.71,-38.15,Pousada Irerê
347,Salamiyah,SY,84.13,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
351,San Quintin,MX,76.19,clear sky,30.48,-115.95,Old Mill Hotel
